Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,1107,Asses,2003,2003,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,1107,Asses,2003,2003,% of total LSU,5,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,1107,Asses,2003,2003,Livestock units (LSU),44000,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,946,Buffaloes,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,946,Buffaloes,2003,2003,% of total LSU,0.01,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,946,Buffaloes,2003,2003,Livestock units (LSU),84,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.37,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,46.68,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),410400,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,5.41,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),47560,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0.09,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,11.54,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),101500,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,1096,Horses,2003,2003,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,1096,Horses,2003,2003,% of total LSU,4.66,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,1096,Horses,2003,2003,Livestock units (LSU),40950,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,1110,Mules,2003,2003,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,1110,Mules,2003,2003,% of total LSU,1.3,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,1110,Mules,2003,2003,Livestock units (LSU),11400,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,1034,Pigs,2003,2003,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,1034,Pigs,2003,2003,% of total LSU,3.75,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,1034,Pigs,2003,2003,Livestock units (LSU),33000,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7213,Livestock units per agricultural land area,976,Sheep,2003,2003,LSU/ha,0.17,Fc,Calculated data
EK,Livestock Patterns,3,Albania,7211,Share in total livestock,976,Sheep,2003,2003,% of total LSU,21.64,Fc,Calculated data
EK,Livestock Patterns,3,Albania,5118,Stocks,976,Sheep,2003,2003,Livestock units (LSU),190300,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,1107,Asses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,1107,Asses,2003,2003,% of total LSU,1.75,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,1107,Asses,2003,2003,Livestock units (LSU),83190,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,1126,Camels,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,1126,Camels,2003,2003,% of total LSU,4,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,1126,Camels,2003,2003,Livestock units (LSU),189787.5,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,23.01,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),1092381.5,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,26.33,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),1250000,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,7,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),332474,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,1096,Horses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,1096,Horses,2003,2003,% of total LSU,0.4,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,1096,Horses,2003,2003,Livestock units (LSU),19012,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,1110,Mules,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,1110,Mules,2003,2003,% of total LSU,0.62,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,1110,Mules,2003,2003,Livestock units (LSU),29286,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,1034,Pigs,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,1034,Pigs,2003,2003,% of total LSU,0.02,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,1034,Pigs,2003,2003,Livestock units (LSU),1140,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7213,Livestock units per agricultural land area,976,Sheep,2003,2003,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,7211,Share in total livestock,976,Sheep,2003,2003,% of total LSU,36.87,Fc,Calculated data
EK,Livestock Patterns,4,Algeria,5118,Stocks,976,Sheep,2003,2003,Livestock units (LSU),1750279,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,2.43,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),61.8,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0.08,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,14.95,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),380,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,7213,Livestock units per agricultural land area,1034,Pigs,2003,2003,LSU/ha,0.42,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,7211,Share in total livestock,1034,Pigs,2003,2003,% of total LSU,82.62,Fc,Calculated data
EK,Livestock Patterns,5,American Samoa,5118,Stocks,1034,Pigs,2003,2003,Livestock units (LSU),2100,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7213,Livestock units per agricultural land area,1107,Asses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7211,Share in total livestock,1107,Asses,2003,2003,% of total LSU,0.05,Fc,Calculated data
EK,Livestock Patterns,7,Angola,5118,Stocks,1107,Asses,2003,2003,Livestock units (LSU),1350,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,74.91,Fc,Calculated data
EK,Livestock Patterns,7,Angola,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),1900000,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,2.74,Fc,Calculated data
EK,Livestock Patterns,7,Angola,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),69400,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,11.83,Fc,Calculated data
EK,Livestock Patterns,7,Angola,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),300000,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7213,Livestock units per agricultural land area,1096,Horses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7211,Share in total livestock,1096,Horses,2003,2003,% of total LSU,0.02,Fc,Calculated data
EK,Livestock Patterns,7,Angola,5118,Stocks,1096,Horses,2003,2003,Livestock units (LSU),500,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7213,Livestock units per agricultural land area,1034,Pigs,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7211,Share in total livestock,1034,Pigs,2003,2003,% of total LSU,7.89,Fc,Calculated data
EK,Livestock Patterns,7,Angola,5118,Stocks,1034,Pigs,2003,2003,Livestock units (LSU),200000,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7213,Livestock units per agricultural land area,976,Sheep,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,7,Angola,7211,Share in total livestock,976,Sheep,2003,2003,% of total LSU,2.56,Fc,Calculated data
EK,Livestock Patterns,7,Angola,5118,Stocks,976,Sheep,2003,2003,Livestock units (LSU),65000,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7213,Livestock units per agricultural land area,1107,Asses,2003,2003,LSU/ha,0.09,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7211,Share in total livestock,1107,Asses,2003,2003,% of total LSU,4.63,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,5118,Stocks,1107,Asses,2003,2003,Livestock units (LSU),775,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.93,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,50.19,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),8400,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0.14,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,7.77,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),1300,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0.39,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,21.21,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),3550,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7213,Livestock units per agricultural land area,1096,Horses,2003,2003,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7211,Share in total livestock,1096,Horses,2003,2003,% of total LSU,1.86,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,5118,Stocks,1096,Horses,2003,2003,Livestock units (LSU),312,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7213,Livestock units per agricultural land area,1034,Pigs,2003,2003,LSU/ha,0.06,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7211,Share in total livestock,1034,Pigs,2003,2003,% of total LSU,3.23,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,5118,Stocks,1034,Pigs,2003,2003,Livestock units (LSU),540,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7213,Livestock units per agricultural land area,976,Sheep,2003,2003,LSU/ha,0.21,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,7211,Share in total livestock,976,Sheep,2003,2003,% of total LSU,11.11,Fc,Calculated data
EK,Livestock Patterns,8,Antigua and Barbuda,5118,Stocks,976,Sheep,2003,2003,Livestock units (LSU),1860,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,1107,Asses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7211,Share in total livestock,1107,Asses,2003,2003,% of total LSU,0.11,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,5118,Stocks,1107,Asses,2003,2003,Livestock units (LSU),49000,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.3,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,87.39,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),39113034.8,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,2.08,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),930000,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,0.94,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),420000,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,1096,Horses,2003,2003,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7211,Share in total livestock,1096,Horses,2003,2003,% of total LSU,5.31,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,5118,Stocks,1096,Horses,2003,2003,Livestock units (LSU),2375750,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,1110,Mules,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7211,Share in total livestock,1110,Mules,2003,2003,% of total LSU,0.25,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,5118,Stocks,1110,Mules,2003,2003,Livestock units (LSU),111000,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,1034,Pigs,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7211,Share in total livestock,1034,Pigs,2003,2003,% of total LSU,0.84,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,5118,Stocks,1034,Pigs,2003,2003,Livestock units (LSU),375000,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7213,Livestock units per agricultural land area,976,Sheep,2003,2003,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,7211,Share in total livestock,976,Sheep,2003,2003,% of total LSU,3.09,Fc,Calculated data
EK,Livestock Patterns,9,Argentina,5118,Stocks,976,Sheep,2003,2003,Livestock units (LSU),1382900,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,1107,Asses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,1107,Asses,2003,2003,% of total LSU,0.78,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,1107,Asses,2003,2003,Livestock units (LSU),3622.5,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,946,Buffaloes,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,946,Buffaloes,2003,2003,% of total LSU,0.07,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,946,Buffaloes,2003,2003,Livestock units (LSU),331.1,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.22,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,69.04,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),321470.4,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0.03,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,9.49,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),44200,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,1.07,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),5002.2,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,1096,Horses,2003,2003,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,1096,Horses,2003,2003,% of total LSU,1.7,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,1096,Horses,2003,2003,Livestock units (LSU),7894.25,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,1110,Mules,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,1110,Mules,2003,2003,% of total LSU,0.03,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,1110,Mules,2003,2003,Livestock units (LSU),120,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,1034,Pigs,2003,2003,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,1034,Pigs,2003,2003,% of total LSU,5.96,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,1034,Pigs,2003,2003,Livestock units (LSU),27757.75,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7213,Livestock units per agricultural land area,976,Sheep,2003,2003,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,7211,Share in total livestock,976,Sheep,2003,2003,% of total LSU,11.87,Fc,Calculated data
EK,Livestock Patterns,1,Armenia,5118,Stocks,976,Sheep,2003,2003,Livestock units (LSU),55253.8,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7213,Livestock units per agricultural land area,1107,Asses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7211,Share in total livestock,1107,Asses,2003,2003,% of total LSU,0,Fc,Calculated data
EK,Livestock Patterns,10,Australia,5118,Stocks,1107,Asses,2003,2003,Livestock units (LSU),1000,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.05,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,66.99,Fc,Calculated data
EK,Livestock Patterns,10,Australia,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),23997600,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,2.34,Fc,Calculated data
EK,Livestock Patterns,10,Australia,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),838260,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,0.71,Fc,Calculated data
EK,Livestock Patterns,10,Australia,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),253000,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7213,Livestock units per agricultural land area,1096,Horses,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7211,Share in total livestock,1096,Horses,2003,2003,% of total LSU,0.4,Fc,Calculated data
EK,Livestock Patterns,10,Australia,5118,Stocks,1096,Horses,2003,2003,Livestock units (LSU),143000,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7213,Livestock units per agricultural land area,1034,Pigs,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7211,Share in total livestock,1034,Pigs,2003,2003,% of total LSU,1.85,Fc,Calculated data
EK,Livestock Patterns,10,Australia,5118,Stocks,1034,Pigs,2003,2003,Livestock units (LSU),664500,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7213,Livestock units per agricultural land area,976,Sheep,2003,2003,LSU/ha,0.02,Fc,Calculated data
EK,Livestock Patterns,10,Australia,7211,Share in total livestock,976,Sheep,2003,2003,% of total LSU,27.71,Fc,Calculated data
EK,Livestock Patterns,10,Australia,5118,Stocks,976,Sheep,2003,2003,Livestock units (LSU),9925237.6,Fc,Calculated data
EK,Livestock Patterns,11,Austria,7213,Livestock units per agricultural land area,866,Cattle,2003,2003,LSU/ha,0.64,Fc,Calculated data
EK,Livestock Patterns,11,Austria,7211,Share in total livestock,866,Cattle,2003,2003,% of total LSU,64.1,Fc,Calculated data
EK,Livestock Patterns,11,Austria,5118,Stocks,866,Cattle,2003,2003,Livestock units (LSU),1860247.8,Fc,Calculated data
EK,Livestock Patterns,11,Austria,7213,Livestock units per agricultural land area,1057,Chickens,2003,2003,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,11,Austria,7211,Share in total livestock,1057,Chickens,2003,2003,% of total LSU,4.28,Fc,Calculated data
EK,Livestock Patterns,11,Austria,5118,Stocks,1057,Chickens,2003,2003,Livestock units (LSU),124310,Fc,Calculated data
EK,Livestock Patterns,11,Austria,7213,Livestock units per agricultural land area,1016,Goats,2003,2003,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,11,Austria,7211,Share in total livestock,1016,Goats,2003,2003,% of total LSU,0.2,Fc,Calculated data
EK,Livestock Patterns,11,Austria,5118,Stocks,1016,Goats,2003,2003,Livestock units (LSU),5784.2,Fc,Calculated data
