Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Agricultural land (sq. km),AG.LND.AGRI.K2,Chad,TCD,483000,486300,495350,499350,499350,499350,499350,499350,499350,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Channel Islands,CHI,85,79.00000095,91.00000381,96.00000381,95,94.20000076,94.79999542,91.99999809,91.99999809,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Chile,CHL,158990,151100,157430,157890,157550,157810,157612.002,157850,157417.998,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,China,CHN,5056940,5220030,5145500,5145530,5145530,5145530,5145530,5278330,5277330,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Colombia,COL,450830,448590,425030,417210,426176.0156,448156.0156,449871.6016,446656.0156,446656.0156,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Comoros,COM,1140,1330,1330,1330,1330,1330,1330,1330,1330,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Congo, Dem. Rep.",COD,259600,256000,257650,260400,262000,262000,262000,262000,262000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Congo, Rep.",COG,105210,105400,105760,105960,106020,106270,106270,106270,106270,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Costa Rica,CRI,23050,18400,18190,18190,18120,17965,17800.99976,17800,17595,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cote d'Ivoire,CIV,189300,196000,206000,206000,206000,206000,206000,206000,206000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Croatia,HRV,..,11690,13338.00049,13260.99976,13310,15673.00049,15088.00049,15375.99976,15440,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cuba,CUB,67410,65540,64612.00195,64077.99805,64056.00098,63422.99805,62789.10156,62402.99805,62267.00195,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cyprus,CYP,1606.000061,1415,1145,1163.000031,1169.000015,1088.300018,1089.800034,1275.100021,1123.300018,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Czech Republic,CZE,..,42800,42340,42290,42250,35210,35160,34940,34890,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Denmark,DNK,27880,26470,26260,26900,26240,26090,26290,26110,26040,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Djibouti,DJI,12990,16010,17015.99976,17020,17020,17020,17020,17020,17020,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Dominica,DMA,180,210,250,250,250,250,250,250,250,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Dominican Republic,DOM,25460,25150,23970,23970,23520,23520,23520,23520,23520,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ecuador,ECU,78460,80660,74977.00195,73461.00098,75068.99902,75130,56017.00195,57883.99902,55160,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Egypt, Arab Rep.",EGY,26480,32910,36710,36200,36960,37309.69971,37151.89941,37898.70117,37337.7002,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,El Salvador,SLV,14100,15000,15350,15430,15710,15750,15930,15650,15840,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Equatorial Guinea,GNQ,3340,3340,2940,2840,2840,2840,2840,2840,2840,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Eritrea,ERI,..,75300,75920,75920,75920,75920,75920,75920,75920,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Estonia,EST,..,9860,9487.999878,9460,9559.000244,9650,9740,9930,10030,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Eswatini,SWZ,12380,12230,12220,12220,12220,12220,12220,12220,12220,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ethiopia,ETH,..,306620,356830,363251.9922,364880,362590,362590,362590,362590,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Faroe Islands,FRO,30,30,30,30,30,30,30,30,30,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Fiji,FJI,4100,4280,4250,4250,4250,4250,4250,4250,4250,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Finland,FIN,23930,22180,22918.99902,22866.00098,22851.00098,22585,22671.00098,22733.99902,22750,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,France,FRA,305928.0078,298074.0039,289263.0078,288785.9961,288448.0078,287736.9922,287665,287269.0039,287180.1953,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,French Polynesia,PYF,430,430,445,455,455,455,455,455,455,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Gabon,GAB,51570,51600,51600,51600,51600,51600,51600,51600,51600,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Gambia, The",GMB,5860,5520,6150,6150,6050,6050,6050,6050,6050,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Georgia,GEO,..,30000,24600,24423.99902,24350,24861.00098,24160.60059,24181.00098,23940,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Germany,DEU,180320,170680,167000,167190,166640,166970,167250,167310,166570,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ghana,GHA,126050,144300,156200,157200,157000,157000,157000,157000,157000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Greece,GRC,92220,85290,74890,73960,72830,71530,62010,61990,61360,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Greenland,GRL,2368.000031,2398.000031,2428.000031,2431.000061,2433.999939,2430.700073,2430.800018,2431.000061,2431.100006,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Grenada,GRD,130,120,80,80,80,80,80,80,80,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guam,GUM,200,200,180,180,180,180,180,180,180,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guatemala,GTM,42850,44650,39620.80078,38906.20117,38091.59912,37206.99951,37938.00049,38560,38560,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guinea,GIN,141410,134890,143000,143000,144000,145000,145000,145000,145000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guinea-Bissau,GNB,14470,16280,16300,16300,16300,16300,16300,16300,16300,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guyana,GUY,17320,17080,16780,16780,16780,16800,16800,16900,17000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Haiti,HTI,15970,16900,18700,18300,17700,18400,18400,18400,18400,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Honduras,HND,33200,29350,32300,32300,32350,32350,32350,32350,32350,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Hong Kong SAR, China",HKG,80,70,55,55,50.99999905,50.99999905,50.99999905,50.99999905,50,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Hungary,HUN,64740,58540,53430,53370,53380,52570,52640,52640,52830,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Iceland,ISL,19010,18890,18740,18731.99951,18721.99951,18721.99951,18721.99951,18720,18720,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,India,IND,1814130,1809750,1795730,1796700,1796420,1796980,1797210,1797210,1797210,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Indonesia,IDN,450830,471770,556000,565000,565000,570000,570000,570000,570000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Iran, Islamic Rep.",IRN,615000,628840,465393.9844,463926.0156,462458.0078,459540,459540,459540,459540,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Iraq,IRQ,92300,83000,82200,85500,85685,88637.5,92690,93000,93000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ireland,IRL,56490,44120,45680,45550,45330,44770,44660,44300,44460,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Isle of Man,IMN,395.9999847,437.9999924,433.8000107,426.1000061,384.0000153,387.9999924,389.0000153,404.0000153,397.9999924,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Israel,ISR,5790,5660,5045,5170,5262.000122,5202.999878,5377.000122,5339.000244,5320,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Italy,ITA,168400,156370,143277.998,138525.9961,137290,136300,131620,129450,127170,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Jamaica,JAM,4760,4790,4440,4440,4440,4440,4440,4440,4440,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Japan,JPN,56930,52580,45930,45610,45490,45380,45180,44960,44710,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Jordan,JOR,10401.99951,10690,10022.99988,10025.99976,10449.00024,10565.99976,10640,10563.00049,10659.59961,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kazakhstan,KAZ,..,2153932.969,2171617.969,2169885,2170120.938,2169940.938,2169920,2169920,2169920,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kenya,KEN,267700,266710,273200,276300,277300,276300,276300,276300,276300,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kiribati,KIR,390,340,340,340,340,340,340,340,340,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Korea, Dem. People’s Rep.",PRK,25180,25500,26800,26300,26300,26300,26300,26300,26300,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Korea, Rep.",KOR,21790,19730,17730,17560.99976,17880,17686.99951,17483.00049,17360,17008.00049,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kuwait,KWT,1410,1480,1520,1525,1520,1536.000061,1521.000061,1493.999939,1500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kyrgyz Republic,KGZ,..,107140,106119.0039,106085,105912.998,105567.002,105570.9961,105570,105410,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lao PDR,LAO,16600,18060,22200,22765,22990,23350,23690,23690,23690,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Latvia,LVA,..,15880,18050,18160,18410,18770,18720,18845,19310,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lebanon,LBN,6050,5950,6400,6510,6580,6580,6580,6580,6580,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lesotho,LSO,23210,23340,23260,23120,22853.00049,22521.00098,22773.00049,22240,23570,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Liberia,LBR,24930,26100,26600,27050,27100,27000,27000,27000,27000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Libya,LBY,154550,154500,153510,153510,153550,153550,153500,153500,153500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Liechtenstein,LIE,70,70,63.00000191,60,60,55.99999905,53.20000172,51.59999847,51.59999847,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lithuania,LTU,..,34180,27723.00049,28058.99902,28421.99951,28913.99902,29523.99902,30058.99902,29538.99902,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Luxembourg,LUX,..,1280,1310.399933,1312.700043,1314.199982,1308.800049,1309.900055,1312.700043,1305.200043,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Madagascar,MDG,363250,405000,413950,414050,414150,414150,414150,414150,414150,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malawi,MWI,42180,47300,56850,55850,57350,57900,57900,57900,57900,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malaysia,MYS,67566.00098,69387.00195,73892.99805,75306.00098,78292.00195,80592.99805,80890,85699.69727,86270,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Maldives,MDV,80,90,79.00000095,79.00000095,79.00000095,79.00000095,79.00000095,79.00000095,79.00000095,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mali,MLI,321280,386000,410510,416510,416510,412010,412010,412010,412010,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malta,MLT,130,90,103.2999992,103.2999992,103.0000019,102.2999954,102.2999954,102.2999954,103.8000011,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Marshall Islands,MHL,..,120,130,130,120,115,115,115,115,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mauritania,MRT,396560,397500,397110,396610,396610,397110,397110,397110,397110,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mauritius,MUS,1110,1010,910,890,870,860,860,860,860,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mexico,MEX,1051510,1063300,1066150,1066150,1066150,1068580,1069260,1067280,1062360,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Micronesia, Fed. Sts.",FSM,..,225,220,220,220,220,220,220,220,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Moldova,MDA,..,25440,24650,24620,24600,24610,24580,24588.99902,24410,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mongolia,MNG,1256560,1304700,1135880,1135070,1133957.969,1133098.984,1129365,1129035,1110622.031,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Montenegro,MNE,..,..,5120,5130,5130,2231.300049,2303.200073,2313.999939,2550,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Morocco,MAR,303430,306520,299883.0078,301038.0078,304030,305915,305915,305915,305915,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mozambique,MOZ,476800,481500,499500,499500,499500,499500,499500,499500,499500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Myanmar,MMR,104280,108120,125260,125580,125490,125870,126320,127490,127600,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Namibia,NAM,386620,388200,388090,388090,388090,388090,388090,388090,388090,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nauru,NRU,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,4.00000006,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nepal,NPL,41443.99902,42491.00098,41260,41266.00098,41210,41210,41210,41210,41210,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Netherlands,NLD,20060,19560,18723.00049,18584.00024,18416.99951,18475.99976,18390.99976,18370,17960,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,New Caledonia,NCL,2320,2450,1986.000061,1903.000031,1843.000031,1841.999969,1842.400055,1842.400055,1842.400055,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,New Zealand,NZL,161820,154130,114080,113710,112094.0039,111060,111160,108400,106510,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nicaragua,NIC,40250,51410,50260,50708.99902,51030,50650,50650,50650,50650,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Niger,NER,330470,370000,439820,444820,447820,456820,456820,456820,456820,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nigeria,NGA,615860,713000,700000,710000,720000,708000,708000,708000,708000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,North Macedonia,MKD,..,12350,11190,11180,12670,12600,12610,12620,12650,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Northern Mariana Islands,MNP,..,30,30,30,30,30,30,30,30,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Norway,NOR,9760,10420,10059.00024,9990,9927.999878,9871.400146,9867.700195,9860.39978,9836.699829,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Oman,OMN,10800,11730,14431.99951,14368.00049,14238.00049,14195,14198.00049,14340,14360,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Pakistan,PAK,352060,366980,352420,359360,360630,362800,362520,362020,368440,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Palau,PLW,..,50,50,50,50,50,50,50,50,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Panama,PAN,21240,22300,22663.89893,22630,22570,22570,22570,22570,22570,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Papua New Guinea,PNG,8770,10050,11900,11900,11900,11900,11900,11900,11900,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Paraguay,PRY,171590,203250,212300,213900,215000,216850,218850,218850,218850,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Peru,PER,218360,231240,240230,241040,243320.9961,243740,237790,233340,236870,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Philippines,PHL,111400,112340,121000,122600,124300,124400,124400,124400,124400,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Poland,POL,187930,184130,144490,147790,145290,144100,144240,143710,143740,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Portugal,PRT,39630,39563.79883,36541.69922,36493.60107,36644.09912,37011.00098,36913.30078,36948.79883,36141.10107,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Puerto Rico,PRI,4350,2471.999969,1936.999969,1953.000031,1968.000031,1976.999969,1976.999969,1976.999969,1976.999969,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Qatar,QAT,610,660,665,650.2999878,665.1999664,685,675.9999847,678.0000305,670,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Romania,ROU,147690,148570,141560,139820,137330,139050,138300,138580,135210,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Russian Federation,RUS,..,2171620,2139520,2146500,2143500,2168400,2177218.125,2177218.125,2177218.125,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Rwanda,RWA,18790,16700,18039.20044,18164.39941,18157.2998,18425,18095,18116.99951,18116.99951,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Samoa,WSM,540,480,350,350,350,350,350,350,350,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,San Marino,SMR,10,10,10,10,10,10,10,10,10,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sao Tome and Principe,STP,420,490,485,487.0000076,487.0000076,487.0000076,487.0000076,487.0000076,487.0000076,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Saudi Arabia,SAU,1234810,1737850,1734060,1733880,1733450,1732950,1735752.969,1736354.063,1736190,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Senegal,SEN,88690,90270,94580,89650,89650,88680,88680,88680,88680,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Serbia,SRB,..,..,35216.00098,35281.99951,34626.00098,34911.99951,35063.99902,34685,34400,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Seychelles,SYC,40,40,24.00000095,15,15,15.49999952,15.49999952,15.49999952,15.49999952,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sierra Leone,SLE,28250,28100,39303.79883,40176.29883,38366.49902,39486.49902,39490,39490,39490,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Singapore,SGP,20,12.00000048,7.400000095,7.300000191,7.300000191,6.700000167,6.600000262,6.600000262,6.600000262,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Slovak Republic,SVK,..,24400,19446.99951,19296.99951,19274.00024,18934.00024,18894.00024,18885.99976,18860,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Slovenia,SVN,..,5180,6238.599854,6206.099854,6117.89978,6102.10022,6148.400269,6164.899902,6174.799805,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Solomon Islands,SLB,680,760,1070,1070,1080,1080,1080,1080,1080,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Somalia,SOM,440420,440670,441280,440280,440250,441250,441250,441250,441250,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,South Africa,ZAF,956000,981250,968910,963740,968410,968410,968410,968410,968410,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,South Sudan,SSD,..,..,..,285331.9922,285331.9922,285331.9922,285331.9922,285331.9922,285331.9922,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Spain,ESP,304720,297660,275450,270140,269420,267331.9922,265780,265765,262656.9922,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sri Lanka,LKA,23390,23500,26200,27300,26900,27400,27400,27400,27400,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Kitts and Nevis,KNA,120,95,56.99999809,60,60,60,60,60,60,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Lucia,LCA,208.9999962,141.9999981,106.0000038,106.0000038,106.0000038,106.0000038,106.0000038,106.0000038,106.0000038,..,..,..
